area_code,measure
E06000003,51327
E07000040,47148
E07000090,43520
E07000214,34062
E07000229,38389
E08000001,101029
E08000009,90988
E08000016,95291
E08000032,183703
E09000003,135711
E09000018,100811
E09000032,124572
E09000033,73471
S12000045,47315
W06000023,26591
E07000006,25490
E07000067,53434
E07000094,44353
E07000125,26263
E07000155,32976
E07000169,32378
E07000187,36881
E07000203,31766
E07000234,36495
E08000037,76049
E09000024,77853
S12000039,38798
W06000002,27446
W06000009,26713
E06000038,62726
E07000010,33913
E07000031,31687
E07000079,26523
E07000096,55653
E07000099,47400
E07000145,33650
E07000189,54042
E07000235,22794
E08000015,122769
E08000021,114763
S12000020,30685
S12000026,35921
W06000024,19625
N09000005,62281
E06000004,76729
E06000021,95252
E06000030,80253
E07000026,34306
E07000032,44454
E07000069,32886
E07000119,28911
E07000140,30249
E07000168,34060
E07000212,31315
E08000011,63779
E09000020,48163
E09000026,106051
S12000021,54164
N09000008,48123
E06000005,41156
E06000051,106951
E07000072,47289
E07000074,21606
E07000088,30010
E07000095,34799
E07000154,85044
E07000221,44581
E07000238,42259
E07000239,33800
E07000240,56885
E09000016,95836
E09000019,80006
S12000018,32202
S12000038,79922
E06000054,167260
E07000012,58433
E07000034,37194
E07000035,22045
E07000080,26329
E07000110,62446
E07000130,66222
E07000146,48389
E07000171,43007
E07000198,33320
E08000030,100040
E09000007,78331
E09000013,67780
S12000035,27253
S12000040,74880
E06000013,58194
E06000025,106437
E06000026,98244
E06000040,55851
E06000059,118798
E07000027,27586
E07000063,33470
E07000077,32069
E07000086,50367
E07000122,32697
E07000200,28885
E08000027,116737
E08000029,78892
W06000013,41517
E06000019,58471
E06000049,141531
E07000039,39779
E07000076,49610
E07000102,35106
E07000135,21485
E07000167,15656
E07000180,48483
E08000018,99894
E08000026,119974
E08000034,147811
E09000030,112922
S12000011,41794
W06000008,13068
W06000010,48566
E06000008,59490
E06000039,55068
E07000008,49162
E07000030,16082
E07000137,41715
E07000142,31890
E07000199,29267
E07000224,53711
E07000246,50700
E08000014,107197
E09000002,73068
E09000005,109066
E09000011,96972
W06000005,39550
W06000020,27274
E06000046,44811
E06000052,175487
E07000042,26426
E07000085,41478
E07000093,46106
E07000108,38962
E07000111,42381
E07000114,48552
E07000124,22884
E07000193,44909
E07000211,57933
E07000220,42564
E07000236,31301
E08000022,84315
E08000024,106607
E06000009,53991
E06000022,66061
E06000055,69828
E07000033,28841
E07000038,35316
E07000064,28951
E07000123,55722
E07000197,50450
E07000207,52867
E08000012,188812
E09000028,109631
E09000031,95750
S12000019,37744
W06000016,72608
N09000006,42616
E06000043,103166
E06000057,117044
E07000011,62640
E07000089,36394
E07000120,30999
E07000141,49366
E07000178,57259
E07000209,51206
E09000010,102570
S12000017,76701
S12000033,79195
S12000047,140427
W06000015,104869
W06000021,20363
N09000002,81778
E06000002,56606
E06000020,68422
E07000004,73315
E07000036,40901
E07000121,50725
E07000131,33346
E07000219,49545
E07000244,76143
E07000245,54994
E08000004,83615
E09000021,64723
E09000025,113127
S12000010,40972
S12000027,7657
W06000019,21552
E06000011,116395
E06000036,46778
E06000041,65277
E06000042,105370
E07000087,40290
E07000103,38030
E07000136,22732
E07000152,31876
E07000202,48847
E07000213,38477
E07000223,21312
W06000004,25237
W06000018,52029
N09000010,68270
N09000011,55303
E06000014,71713
E07000028,39498
E07000029,25232
E07000062,32388
E07000065,51195
E07000075,31076
E07000113,53070
E07000156,28506
E07000166,16534
E07000188,41892
E07000210,30403
E07000237,36316
E08000035,295893
S12000013,8923
S12000029,140644
E06000023,180822
E06000050,131094
E07000061,36084
E07000070,66334
E07000118,44700
E07000139,39972
E07000179,50560
E07000181,37898
E07000196,39678
E08000007,111217
E08000023,58341
E08000031,95023
E09000014,88762
S12000028,42669
S12000050,150166
E06000015,93629
E07000005,34832
E07000046,20926
E07000081,46324
E07000098,40366
E07000143,42947
E07000144,44381
E07000150,28792
E07000172,41357
E07000174,41218
E08000002,70606
E09000027,71794
S12000006,48934
W06000014,37712
W06000022,44730
E06000016,127382
E06000024,76658
E06000027,47748
E06000058,146245
E07000037,32089
E07000106,52023
E07000107,43150
E07000133,17764
E07000163,18397
E07000216,45754
E07000241,42819
E08000017,116048
E09000012,95893
S12000034,87665
W06000006,38422
E06000012,56977
E06000033,65886
E07000041,46800
E07000043,32125
E07000112,37488
E07000117,35041
E07000132,40200
E07000165,57754
E07000222,52866
E08000003,204651
S12000008,52821
S12000014,67004
S12000030,35322
S12000042,57619
N09000001,55320
E06000045,89733
E07000007,63255
E07000129,38208
E07000151,30362
E07000170,46256
E07000217,39408
E08000006,102192
E08000019,204382
E08000033,71935
E09000008,133583
E09000022,119035
E09000029,78615
W06000012,43140
N09000004,47557
N09000009,56472
E06000056,107047
E07000078,40141
E07000082,38689
E07000105,46774
E07000126,42694
E07000138,36239
E07000148,49297
E07000149,45718
E07000177,57491
E07000225,39106
E07000227,49196
E08000025,368244
E08000028,117265
E08000036,126478
N09000003,129330
E06000001,35873
E06000010,96153
E06000017,12975
E07000047,16692
E07000066,70428
E07000068,28516
E07000091,55820
E07000092,38006
E07000153,38266
E07000164,29347
E08000010,124185
E09000006,117667
E09000015,88176
S12000041,39854
W06000003,27095
E06000032,80321
E06000044,77586
E07000073,35083
E07000173,44066
E07000175,42804
E07000192,37389
E07000195,45477
E07000228,55687
E07000242,54453
E09000004,87256
