area_code,measure
E06000003,2.56635
E07000040,2.3574
E07000090,2.176
E07000214,1.7031
E07000229,1.91945
E08000001,5.05145
E08000009,4.5494
E08000016,4.76455
E08000032,9.18515
E09000003,6.78555
E09000018,5.04055
E09000032,6.2286
E09000033,3.67355
S12000045,2.36575
W06000023,1.32955
E07000006,1.2745
E07000067,2.6717
E07000094,2.21765
E07000125,1.31315
E07000155,1.6488
E07000169,1.6189
E07000187,1.84405
E07000203,1.5883
E07000234,1.82475
E08000037,3.80245
E09000024,3.89265
S12000039,1.9399
W06000002,1.3723
W06000009,1.33565
E06000038,3.1363
E07000010,1.69565
E07000031,1.58435
E07000079,1.32615
E07000096,2.78265
E07000099,2.37
E07000145,1.6825
E07000189,2.7021
E07000235,1.1397
E08000015,6.13845
E08000021,5.73815
S12000020,1.53425
S12000026,1.79605
W06000024,0.98125
N09000005,3.11405
E06000004,3.83645
E06000021,4.7626
E06000030,4.01265
E07000026,1.7153
E07000032,2.2227
E07000069,1.6443
E07000119,1.44555
E07000140,1.51245
E07000168,1.703
E07000212,1.56575
E08000011,3.18895
E09000020,2.40815
E09000026,5.30255
S12000021,2.7082
N09000008,2.40615
E06000005,2.0578
E06000051,5.34755
E07000072,2.36445
E07000074,1.0803
E07000088,1.5005
E07000095,1.73995
E07000154,4.2522
E07000221,2.22905
E07000238,2.11295
E07000239,1.69
E07000240,2.84425
E09000016,4.7918
E09000019,4.0003
S12000018,1.6101
S12000038,3.9961
E06000054,8.363
E07000012,2.92165
E07000034,1.8597
E07000035,1.10225
E07000080,1.31645
E07000110,3.1223
E07000130,3.3111
E07000146,2.41945
E07000171,2.15035
E07000198,1.666
E08000030,5.002
E09000007,3.91655
E09000013,3.389
S12000035,1.36265
S12000040,3.744
E06000013,2.9097
E06000025,5.32185
E06000026,4.9122
E06000040,2.79255
E06000059,5.9399
E07000027,1.3793
E07000063,1.6735
E07000077,1.60345
E07000086,2.51835
E07000122,1.63485
E07000200,1.44425
E08000027,5.83685
E08000029,3.9446
W06000013,2.07585
E06000019,2.92355
E06000049,7.07655
E07000039,1.98895
E07000076,2.4805
E07000102,1.7553
E07000135,1.07425
E07000167,0.7828
E07000180,2.42415
E08000018,4.9947
E08000026,5.9987
E08000034,7.39055
E09000030,5.6461
S12000011,2.0897
W06000008,0.6534
W06000010,2.4283
E06000008,2.9745
E06000039,2.7534
E07000008,2.4581
E07000030,0.8041
E07000137,2.08575
E07000142,1.5945
E07000199,1.46335
E07000224,2.68555
E07000246,2.535
E08000014,5.35985
E09000002,3.6534
E09000005,5.4533
E09000011,4.8486
W06000005,1.9775
W06000020,1.3637
E06000046,2.24055
E06000052,8.77435
E07000042,1.3213
E07000085,2.0739
E07000093,2.3053
E07000108,1.9481
E07000111,2.11905
E07000114,2.4276
E07000124,1.1442
E07000193,2.24545
E07000211,2.89665
E07000220,2.1282
E07000236,1.56505
E08000022,4.21575
E08000024,5.33035
E06000009,2.69955
E06000022,3.30305
E06000055,3.4914
E07000033,1.44205
E07000038,1.7658
E07000064,1.44755
E07000123,2.7861
E07000197,2.5225
E07000207,2.64335
E08000012,9.4406
E09000028,5.48155
E09000031,4.7875
S12000019,1.8872
W06000016,3.6304
N09000006,2.1308
E06000043,5.1583
E06000057,5.8522
E07000011,3.132
E07000089,1.8197
E07000120,1.54995
E07000141,2.4683
E07000178,2.86295
E07000209,2.5603
E09000010,5.1285
S12000017,3.83505
S12000033,3.95975
S12000047,7.02135
W06000015,5.24345
W06000021,1.01815
N09000002,4.0889
E06000002,2.8303
E06000020,3.4211
E07000004,3.66575
E07000036,2.04505
E07000121,2.53625
E07000131,1.6673
E07000219,2.47725
E07000244,3.80715
E07000245,2.7497
E08000004,4.18075
E09000021,3.23615
E09000025,5.65635
S12000010,2.0486
S12000027,0.38285
W06000019,1.0776
E06000011,5.81975
E06000036,2.3389
E06000041,3.26385
E06000042,5.2685
E07000087,2.0145
E07000103,1.9015
E07000136,1.1366
E07000152,1.5938
E07000202,2.44235
E07000213,1.92385
E07000223,1.0656
W06000004,1.26185
W06000018,2.60145
N09000010,3.4135
N09000011,2.76515
E06000014,3.58565
E07000028,1.9749
E07000029,1.2616
E07000062,1.6194
E07000065,2.55975
E07000075,1.5538
E07000113,2.6535
E07000156,1.4253
E07000166,0.8267
E07000188,2.0946
E07000210,1.52015
E07000237,1.8158
E08000035,14.79465
S12000013,0.44615
S12000029,7.0322
E06000023,9.0411
