area_code,measure
E02000001,70
E02000002,67.4
E02000003,66.3
E02000004,74.6
E02000005,67
E02000007,65.4
E02000008,66.2
E02000009,62.1
E02000010,66.3
E02000011,67
E02000012,69.9
E02000013,64.2
E02000014,64.2
E02000015,64.3
E02000016,57.3
E02000017,57.8
E02000018,63
E02000019,64.2
E02000020,62.6
E02000021,61.4
E02000022,59.9
E02000023,62.4
E02000024,83.6
E02000025,80.1
E02000026,79.6
E02000027,79.1
E02000028,79.6
E02000029,75.5
E02000030,82.7
E02000031,80.1
E02000032,78.8
E02000033,75.3
E02000034,75.3
E02000035,74.7
E02000036,73.7
E02000037,76.8
E02000038,74.6
E02000039,78.8
E02000040,75.6
E02000041,66.6
E02000042,73
E02000043,76.3
E02000044,67.4
E02000045,72.1
E02000046,71.6
E02000047,62.7
E02000048,76.2
E02000049,66
E02000050,72.8
E02000051,72.4
E02000052,75.5
E02000053,63.7
E02000054,65.7
E02000055,60.9
E02000056,80.3
E02000057,63
E02000058,71.8
E02000059,64.3
E02000060,63.9
E02000061,69.8
E02000062,62.4
E02000063,66.2
E02000064,68.4
E02000065,67.1
E02000066,67.9
E02000067,71.5
E02000068,69.7
E02000069,77.6
E02000070,82.3
E02000071,80.9
E02000072,70.9
E02000073,85.7
E02000074,78
E02000075,87
E02000077,82.2
E02000078,86.2
E02000079,82.4
E02000080,80.4
E02000081,82.5
E02000082,83.2
E02000083,78.2
E02000084,84.3
E02000085,82.4
E02000086,86.2
E02000087,86.9
E02000088,86.8
E02000089,87.4
E02000090,86
E02000091,86.6
E02000092,77.6
E02000093,62.6
E02000094,63.1
E02000095,65.2
E02000096,72.3
E02000097,65.3
E02000098,64.6
E02000099,60.3
E02000100,70.7
E02000101,60.9
E02000102,59.6
E02000103,63.1
E02000104,64.1
E02000105,64.7
E02000106,56.7
E02000107,62.9
E02000108,66.6
E02000109,62.4
E02000110,65.1
E02000111,66.2
E02000112,66.4
E02000113,58.7
E02000114,61.3
E02000115,62.4
E02000116,60.2
E02000117,56.7
E02000118,73.1
E02000119,61.5
E02000120,61.5
E02000121,72.5
E02000122,68.5
E02000123,58
E02000124,68
E02000125,67.8
E02000126,60.4
E02000127,71.2
E02000128,83.8
E02000130,78.2
E02000131,73.3
E02000132,78.5
E02000133,87.8
E02000134,76.4
E02000135,67.4
E02000136,81.1
E02000137,82.2
E02000138,83.4
E02000139,82.3
E02000140,74.5
E02000141,76.7
E02000142,84.4
E02000144,79.7
E02000145,72.4
E02000146,82.2
E02000147,85.7
E02000148,86.6
E02000149,79
E02000150,83.8
E02000151,89.5
E02000152,77
E02000153,87.2
E02000154,83.2
E02000155,83.8
E02000156,87.5
E02000157,89
E02000158,81.7
E02000159,86.5
E02000160,86.1
E02000161,88.2
E02000162,85.9
E02000163,87.5
E02000165,84.7
E02000166,73.1
E02000167,74.4
E02000168,74.2
E02000169,71.8
E02000170,68.4
E02000171,72.6
E02000172,65.3
E02000173,66.4
E02000174,64.6
E02000175,65.7
E02000176,69.9
E02000177,67
E02000178,64.1
E02000179,67.7
E02000180,70.3
E02000181,67.8
E02000182,61.6
E02000183,71.3
E02000184,62.6
E02000185,62.1
E02000186,66
E02000187,64.8
E02000188,64.1
E02000189,55.2
E02000190,53.6
E02000191,53.6
E02000192,64.3
E02000193,56.2
E02000194,67.8
E02000195,67.8
E02000196,63.4
E02000197,62.5
E02000198,59.8
E02000199,60.7
E02000200,67.8
E02000201,60.1
E02000202,62.6
E02000203,58.9
E02000204,61.9
E02000206,59.2
E02000207,63.7
E02000208,58.4
E02000209,63.5
E02000210,68.2
E02000211,81.5
E02000212,60.6
E02000213,58.6
E02000214,75.5
E02000215,62.2
E02000216,70.3
E02000217,62.6
E02000218,71.1
E02000219,83.3
E02000220,65
E02000221,68.5
E02000222,75.5
E02000223,62.3
E02000224,74.1
E02000225,69.6
E02000226,79.6
E02000227,77.4
E02000228,87.2
E02000229,67.5
E02000230,78.6
E02000231,84.2
E02000232,82.5
E02000233,80.1
E02000234,80
E02000235,83.3
