area_code,measure_a,measure_b
E02000001,70,14.72048422
E02000002,67.4,34.76755983
E02000003,66.3,25.14972593
E02000004,74.6,23.56004437
E02000005,67,30.21296538
E02000007,65.4,36.00746327
E02000008,66.2,34.449585
E02000009,62.1,36.33654627
E02000010,66.3,34.49335915
E02000011,67,25.71396879
E02000012,69.9,20.63216642
E02000013,64.2,36.09122609
E02000014,64.2,36.55000135
E02000015,64.3,39.60161035
E02000016,57.3,33.66113101
E02000017,57.8,27.27058677
E02000018,63,36.41188684
E02000019,64.2,32.06529403
E02000020,62.6,33.22273173
E02000021,61.4,31.82347889
E02000022,59.9,38.64612501
E02000023,62.4,39.06830407
E02000024,83.6,9.191532295
E02000025,80.1,15.93263444
E02000026,79.6,10.84753756
E02000027,79.1,22.82809512
E02000028,79.6,12.80765408
E02000029,75.5,16.01065153
E02000030,82.7,13.46405834
E02000031,80.1,8.982775245
E02000032,78.8,8.446300999
E02000033,75.3,17.06347979
E02000034,75.3,12.8238987
E02000035,74.7,13.70204503
E02000036,73.7,16.32370046
E02000037,76.8,11.12815846
E02000038,74.6,15.5682248
E02000039,78.8,10.70296309
E02000040,75.6,15.44147771
E02000041,66.6,18.28472052
E02000042,73,15.16275718
E02000043,76.3,7.517256489
E02000044,67.4,23.62735834
E02000045,72.1,19.81691523
E02000046,71.6,12.42196595
E02000047,62.7,26.34332143
E02000048,76.2,12.8220808
E02000049,66,35.91760943
E02000050,72.8,18.30702076
E02000051,72.4,10.39444759
E02000052,75.5,11.88196625
E02000053,63.7,20.76039421
E02000054,65.7,16.54641009
E02000055,60.9,15.52579981
E02000056,80.3,8.093323224
E02000057,63,14.00602963
E02000058,71.8,10.38458347
E02000059,64.3,22.05096323
E02000060,63.9,15.24550236
E02000061,69.8,13.93901715
E02000062,62.4,32.41226778
E02000063,66.2,22.01048085
E02000064,68.4,22.20927902
E02000065,67.1,20.6932437
E02000066,67.9,28.27548875
E02000067,71.5,25.82637583
E02000068,69.7,28.26586392
E02000069,77.6,19.41122347
E02000070,82.3,13.54951893
E02000071,80.9,17.87055462
E02000072,70.9,31.57721737
E02000073,85.7,8.703328625
E02000074,78,29.74117918
E02000075,87,8.897173518
E02000077,82.2,12.74568159
E02000078,86.2,10.3481464
E02000079,82.4,13.06773759
E02000080,80.4,11.92746679
E02000081,82.5,16.31653588
E02000082,83.2,8.814773634
E02000083,78.2,21.44969523
E02000084,84.3,9.10505278
E02000085,82.4,11.57748309
E02000086,86.2,7.640076643
E02000087,86.9,7.915004398
E02000088,86.8,8.580550498
E02000089,87.4,7.935679305
E02000090,86,11.41749747
E02000091,86.6,12.67784782
E02000092,77.6,30.79426126
E02000093,62.6,18.51265271
E02000094,63.1,19.70144378
E02000095,65.2,18.90111612
E02000096,72.3,11.05660952
E02000097,65.3,19.28432433
E02000098,64.6,21.86900685
E02000099,60.3,18.82016976
E02000100,70.7,12.25044499
E02000101,60.9,27.68633351
E02000102,59.6,33.10145888
E02000103,63.1,28.89743516
E02000104,64.1,23.18116779
E02000105,64.7,21.41744928
E02000106,56.7,33.3267876
E02000107,62.9,25.17942202
E02000108,66.6,20.69805981
E02000109,62.4,21.54769297
E02000110,65.1,20.87273154
E02000111,66.2,22.217877
