postcode,measure_a,measure_b
SE20 7TF,13.75827166,151.7812796
SE9 1DH,12.14624623,85.52757978
NE2 1AR,18.19366053,173.3670747
CV32 5QB,31.97452299,281.6981609
BA9 9RT,17.20033323,69.78746591
PR5 4JB,32.36258749,116.2066596
EN9 1JD,25.86512329,119.924941
RM7 9NP,15.65635498,151.5610111
RG14 2NU,20.76071264,188.9766685
SE28 0EB,12.54786383,115.2463953
EX2 8QA,10.84607082,85.50856099
HX1 2ND,27.54969954,93.93286101
WC2A 3PF,20.21689117,120.2518599
IG11 8HG,29.80060401,163.2027263
SW1V 4NA,6.923684814,-14.08780853
S11 8JD,23.21628825,6.216172949
TN2 3UY,14.75028432,112.3124786
NE66 2EP,14.2085208,66.64491478
ST1 6AL,39.09130433,154.6042505
WD3 9YS,14.57843368,44.58838434
BS5 0TT,16.30484219,106.2005275
NW7 2QR,20.67397731,8.748263961
RG2 0JZ,12.38123646,155.7122331
AL8 6AH,19.80656764,129.427933
SE18 4JL,21.72591897,72.39994017
DL14 9AE,21.30202396,137.7600615
BB8 9HY,13.90743907,68.09327418
GL11 4BS,18.76694257,152.2614409
BL5 3ZS,26.61576885,114.3449769
CV32 5EL,11.47015722,65.52958866
DL7 8DS,14.90599236,43.18852601
PE3 8YL,49.05890096,158.271649
EN8 9SL,27.94951818,46.44865342
AL7 1AB,24.95885685,152.6717362
SE11 5QY,8.541935086,84.05916555
W14 8PB,8.42204195,-15.54843149
GU11 1JG,13.2524941,105.5683285
OX5 1FJ,19.24396938,111.7249824
SO15 0NP,25.12268493,137.2649724
SK1 4AA,15.89185616,128.690731
BH11 8PT,20.72861426,85.2230634
BN11 2NR,36.20846195,191.6964944
HP18 0JH,4.187313566,37.630543
MK9 3AQ,5.489513476,-51.91615886
MK9 1AL,12.01169489,36.71541374
NN12 8GX,27.11697811,77.80334366
HP16 9AE,4.046410448,103.4710364
SL9 9RS,3.164560255,11.9361614
HP11 1NP,21.91120081,186.4651116
HP19 8FF,4.096892687,6.029249634
MK12 5JN,27.93761587,216.3133566
MK46 4AJ,4.104272815,52.10650299
MK2 2ZW,5.941228824,125.596155
MK9 1LH,4.371922918,44.06879708
MK9 1LT,20.04991472,74.62747851
MK9 3AF,11.16948278,94.5303979
MK9 3AE,18.8250745,7.742675736
MK9 3QA,30.07797037,197.6156151
MK9 3PW,2.012967216,69.04034203
LE15 8AH,34.73222557,246.3277504
LE4 4NP,18.69183834,26.17985164
NN17 1QG,15.05081565,-5.276974335
NN17 5EU,15.24772444,92.28792025
NN17 1UJ,25.85826182,165.0301509
LE15 7SN,21.38062979,136.2390638
LE11 3TU,32.0084626,224.5404002
LN1 1XL,15.68612133,120.7770289
B74 2HE,18.79801471,187.3396416
DY5 3LS,21.94398643,118.3587313
NG7 2TU,47.80840886,234.7669802
ST1 5LG,17.9386377,96.69302722
B24 9NY,38.65103742,199.4673574
NG5 2DA,24.86301305,73.40403186
CV37 9QY,13.76120001,41.11032649
LE15 9PY,14.41504965,138.5817719
WR2 5JN,33.08081271,150.4983605
WR2 6AJ,24.00898422,90.51044829
WR10 1PT,24.03043863,195.3860714
CV11 5AA,23.80080787,160.9579563
RH19 3AZ,20.82125321,143.8854083
RH12 1RL,59.92020699,298.0288445
PO19 1TY,38.2544222,205.8290015
RH16 3QY,14.85718785,150.2005127
RH15 8EF,15.26048844,130.1850738
RH10 1UZ,21.09790977,87.10615063
PO21 1LD,10.04042333,82.48683133
RH20 4PA,18.68021714,78.46381614
BN11 2HP,5.376458302,4.648303267
BN17 6EU,24.35622233,40.63525483
BN11 1NY,50.06811584,296.2120507
NE1 8PP,20.47717014,159.8743628
